title,publish_time,source,related_instruments
CPO板块震荡回落 新易盛跌超6%,2023-07-05 14:27:55,快兰斯24小时财经,"300394.SZ,300502.SZ,300308.SZ,603083.SH,002902.SZ,300570.SZ"
亚马逊云科技在中国首次推出创业加速器,2023-07-05 15:10:43,快兰斯24小时财经,AMZN.US
安德利：关于与温宿县人民政府签订投资1.5亿元浓缩果汁生产线建设项目,2023-07-05 15:46:55,快兰斯24小时财经,605198.SH
金诚信：签署7106万美元日常经营合同,2023-07-05 15:48:54,快兰斯24小时财经,600988.SH
浙江建投：中国信达拟减持不超1%股份,2023-07-05 18:07:57,快兰斯24小时财经,01359.HK
精工钢构：下属子公司承接9692万元钢结构及BIPV一体化工程,2023-07-05 18:43:07,快兰斯24小时财经,600496.SH
世界银行1000强榜单发布，10家中国银行进入20强,2023-07-05 20:16:08,快兰斯24小时财经,"601939.SH,601398.SH,01398.HK,01288.HK,00939.HK,601288.SH"
星源卓镁：将加大显示器背板支架类等大中型产品的开拓力度,2023-07-05 20:34:30,快兰斯24小时财经,"TSLA.US,NIO.US,09866.HK"
恒帅股份：谐波磁场电机相关研发项目预计今年进行产业化落地,2023-07-05 21:40:12,快兰斯24小时财经,HLIT.US
国中水务：拟参与认购数字文化产业基金份额,2023-07-05 22:06:00,快兰斯24小时财经,600187.SH
圣龙股份：公司和小鹏汽车有油泵项目的交流,2023-07-05 22:28:29,快兰斯24小时财经,"XPEV.US,09868.HK"
商汤科技：香港财政司司长陈茂波到访上海商汤AIDC,2023-07-05 23:01:11,快兰斯24小时财经,"NVMI.US,00020.HK"
国泰君安：建议关注国内厂商光纤光缆盈利能力改善情况,2023-07-06 08:26:32,快兰斯24小时财经,"601211.SH,00941.HK,600050.SH,00762.HK,600941.SH,02611.HK,OCC.US"
减速器概念股延续回调,2023-07-06 09:28:19,快兰斯24小时财经,"002553.SZ,300503.SZ,300549.SZ,000678.SZ"
减速器概念股继续调整 南方精工再度跌停,2023-07-06 09:31:31,快兰斯24小时财经,"000678.SZ,300549.SZ,300503.SZ,002553.SZ,301255.SZ"
无人驾驶板块盘初下挫,2023-07-06 09:32:01,快兰斯24小时财经,"301221.SZ,301183.SZ,002920.SZ,301099.SZ"
电力板块盘初冲高 大连热电2连板,2023-07-06 09:33:55,快兰斯24小时财经,"605162.SH,600509.SH,002893.SZ,600505.SH"
算力租赁板块盘初拉升,2023-07-06 09:35:30,快兰斯24小时财经,"002261.SZ,300895.SZ,000977.SZ,600797.SH"
芯原股份：目前已有多个5nm设计项目流片完成 多个设计项目待流片,2023-07-06 09:36:00,快兰斯24小时财经,03355.HK
航空运输板块盘初走高,2023-07-06 09:38:44,快兰斯24小时财经,"00753.HK,601021.SH,600029.SH,ZNH.US,601111.SH"
PCB概念股快速拉升 金安国际涨停,2023-07-06 09:39:55,快兰斯24小时财经,"300476.SZ,301041.SZ,300283.SZ,300657.SZ,002463.SZ"
汽车整车板块再度活跃 众泰汽车涨超8%,2023-07-06 09:40:18,快兰斯24小时财经,"002594.SZ,01211.HK,601127.SH,000980.SZ,000800.SZ"
PET铜箔板块回调,2023-07-06 09:42:19,快兰斯24小时财经,"301217.SZ,688700.SH,002846.SZ,688659.SH,002585.SZ"
游戏板块向上反弹,2023-07-06 09:43:30,快兰斯24小时财经,"300148.SZ,300533.SZ,002517.SZ,002602.SZ,002555.SZ"
面板股异动拉升 彩虹股份冲击涨停,2023-07-06 09:46:31,快兰斯24小时财经,"000100.SZ,000725.SZ,000050.SZ,002876.SZ"
粤万年青：藿香正气类产品销售额占公司主营药品业务比例较小,2023-07-06 09:47:18,快兰斯24小时财经,000789.SZ
储存芯片概念直线拉升 香农芯创拉涨超10%,2023-07-06 09:53:44,快兰斯24小时财经,"002654.SZ,300475.SZ,300302.SZ"
算力板块持续拉升 拓维信息涨停,2023-07-06 09:54:55,快兰斯24小时财经,"300657.SZ,300520.SZ,002261.SZ,300042.SZ"
数据安全板块持续上扬 国华网安2连板,2023-07-06 09:58:44,快兰斯24小时财经,"300369.SZ,000004.SZ,00370.HK,000158.SZ,300302.SZ"
稀土永磁板块震荡走弱 多股跌超5%,2023-07-06 10:04:19,快兰斯24小时财经,"600366.SH,600111.SH,002056.SZ,300340.SZ,600259.SH,000795.SZ,300835.SZ"
面板概念股走高 深华发A、彩虹股份涨停,2023-07-06 10:07:22,快兰斯24小时财经,"300128.SZ,000020.SZ,600707.SH,603228.SH,002217.SZ"
电气风电与酒泉市举行座谈会并签约,2023-07-06 10:07:29,快兰斯24小时财经,"02727.HK,601727.SH"
港股医药股震荡走低,2023-07-06 10:08:44,快兰斯24小时财经,"02005.HK,02186.HK,03933.HK,02269.HK,01666.HK"
存储芯片板块持续上扬 香农芯创20CM涨停,2023-07-06 10:10:18,快兰斯24小时财经,"001309.SZ,688123.SH,300475.SZ,300223.SZ"
智能驾驶概念股震荡走高 瑞玛精密直线拉升涨停,2023-07-06 10:21:19,快兰斯24小时财经,"603197.SH,002976.SZ,002355.SZ,002284.SZ,002036.SZ,TSLA.US"
机器人概念反复活跃 步科股份大涨15%,2023-07-06 10:59:43,快兰斯24小时财经,"301255.SZ,603662.SH,002527.SZ,002031.SZ"
《汽车行业维护公平市场秩序承诺书》正式签署,2023-07-06 11:12:21,快兰斯24小时财经,"XPEV.US,TSLA.US,000951.SZ,01211.HK,NIO.US,03808.HK,09866.HK,002594.SZ"
昌红科技投资新设模塑科技公司 含集成电路芯片及产品制造业务,2023-07-06 12:09:25,快兰斯24小时财经,000700.SZ
猪肉股午后异动 唐人神涨超5%,2023-07-06 13:08:42,快兰斯24小时财经,"603363.SH,002100.SZ,002567.SZ,600975.SH,000702.SZ"
创新药板块持续走低 恩华药业逼近跌停,2023-07-06 13:10:44,快兰斯24小时财经,"002653.SZ,688202.SH,CSCO.US,688062.SH,688266.SH,300026.SZ,002262.SZ"
长安汽车王俊：中国新能源汽车出口均价大幅提升,2023-07-06 13:28:04,快兰斯24小时财经,000625.SZ
生物制品板块午后持续震荡下挫,2023-07-06 13:33:29,快兰斯24小时财经,"300841.SZ,000534.SZ"
远洋集团回应传闻：两大股东针对公司成立联合工作组，相关工作仍在进行中,2023-07-06 13:54:42,快兰斯24小时财经,03377.HK
中国稀土：中稀湖南矿山项目已进入生产经营阶段,2023-07-06 14:08:01,快兰斯24小时财经,00769.HK
英派斯：目前未与小米公司开展合作,2023-07-06 14:24:02,快兰斯24小时财经,01810.HK
明阳智能、双良节能等于内蒙古共设绿色能源公司 注册资本240亿,2023-07-06 14:29:04,快兰斯24小时财经,600481.SH
